,GC/LE/Other,Category,Name,Note Description,Status,Released/Available Date,Cesssation Date,Refactore Date,Review,Notes,,,,
,Limited Edition,A Demon in My View,Dreamland,"osmanthus and tuberose over pulsating, heated skin musk, spiked carnation, night phlox and vesper iris.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,Lenore,"thick black vetiver, sharp white musk and lemon peel, smoke and saffron, patchouli, thyme and black plum.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,Alone,"Patchouli and cardamom with bright mandarin, labdanum, muguet, red sandalwood, angelica and gardenia.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,Al-Araaf,"Honeyed lilies, dry lotus root and fae flowers.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,Annabel Lee,"wild peony, sweet pea, cucumber and white sage with sea lilies and moss.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,The Sleeper,"Night-blooming jasmine, opium poppy, wild rosemary, Calla lily, oakmoss and crypt musk.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,The City in the Sea,"luminous aquatic notes threaded through by creeping ivies, white woods, waving kelp and bruised violets",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,The Haunted Palace,"red rose, Tunisian amber, blood orange, toasted vanilla, heliotrope, gardenia and red musk.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,Spirits of the Dead,"dry tea leaf, linden blossom, papyrus, orris and coffin wood.",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Demon in My View,Evening Star,"moonflower with oriental poppy, fairy lily, orris and night gladiolus",Discontinued,09/01/05,01/15/06,,,,,,,
,Limited Edition,A Little Lunacy,Honey Moon,"five different honeys, ranging from pale and sweet to deep and heady, with hints of jasmine, white gardenia, Hawaiian white ginger and thyme",Discontinued,05/23/05,,,,,,,,
,Limited Edition,A Little Lunacy,Selkie,"The chill waters of the Orkney coast, tea-leaved willow, honey-touched Grass-of-Parnassus, sea aster, and Scottish Primrose",Discontinued,05/31/07,,,,,,,,
,Limited Edition,A Little Lunacy,Chrysanthemum Moon,"a sensual incense of crushed mums, red ginger, and pulsing musk",Discontinued,08/09/06,,,,,,,,
,Limited Edition,A Little Lunacy,Schwarzer Mond 2006,"opoponax, Tunisian black amber, night musk, antique patchouli, zdravetz, terebinth, myrrh, and Pimenta racemosa.",Discontinued,08/22/06,,,,,,,,
,Limited Edition,A Little Lunacy,Sea of Tranquility,"Silver-dusted lotus, white amber, rose otto, passion flower, white sandalwood, buttonweed, and white poppy.",Discontinued,11/22/07,11/26/07,,,,,,,
,Limited Edition,A Little Lunacy,Sleepy Moon,"Black opium poppy, bamboo pulp, ylang ylang, lavender, chamomile and white sandalwood",Discontinued,02/13/06,,,,,,,,
,Limited Edition,A Little Lunacy,Snow Moon,"An icy flurry over the winter blooms of narcissus, pansy crocus, dahlia, tulip, chrysanthemum and white rose, with a hint of fir and birch.",Discontinued,11/15/05,,,,,,,,
